,name,open,pre_close,price,high,low,bid,ask,volume,amount,b1_v,b1_p,b2_v,b2_p,b3_v,b3_p,b4_v,b4_p,b5_v,b5_p,a1_v,a1_p,a2_v,a2_p,a3_v,a3_p,a4_v,a4_p,a5_v,a5_p,date,time,code
0,上证指数,2827.0823,2831.1837,2807.1675,2837.5092,2804.4929,0,0,76955508,93302924333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:35:21,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3788612,26894214.240,173,7.110,307,7.100,236,7.090,528,7.080,131,7.070,544,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:35:21,000980
0,上证指数,2827.0823,2831.1837,2807.1675,2837.5092,2804.4929,0,0,76955508,93302924333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:35:21,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3788612,26894214.240,173,7.110,307,7.100,236,7.090,528,7.080,131,7.070,544,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:35:21,000980
0,上证指数,2827.0823,2831.1837,2807.1675,2837.5092,2804.4929,0,0,76955508,93302924333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:35:21,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3788612,26894214.240,173,7.110,307,7.100,236,7.090,528,7.080,131,7.070,544,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:35:21,000980
0,上证指数,2827.0823,2831.1837,2807.1675,2837.5092,2804.4929,0,0,76955508,93302924333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:35:21,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3788612,26894214.240,175,7.110,307,7.100,236,7.090,528,7.080,131,7.070,544,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:35:27,000980
0,上证指数,2827.0823,2831.1837,2807.1675,2837.5092,2804.4929,0,0,76955508,93302924333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:35:21,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3788612,26894214.240,175,7.110,307,7.100,236,7.090,528,7.080,131,7.070,544,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:35:27,000980
0,上证指数,2827.0823,2831.1837,2807.9735,2837.5092,2804.4929,0,0,76975620,93326908683,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:35:26,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3788612,26894214.240,175,7.110,307,7.100,236,7.090,528,7.080,131,7.070,544,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:35:27,000980
0,上证指数,2827.0823,2831.1837,2807.9735,2837.5092,2804.4929,0,0,76975620,93326908683,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:35:26,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3788612,26894214.240,175,7.110,307,7.100,236,7.090,528,7.080,131,7.070,544,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:35:27,000980
0,上证指数,2827.0823,2831.1837,2807.9735,2837.5092,2804.4929,0,0,76975620,93326908683,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:35:26,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3788612,26894214.240,175,7.110,307,7.100,236,7.090,528,7.080,131,7.070,544,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:35:27,000980
0,上证指数,2827.0823,2831.1837,2807.9735,2837.5092,2804.4929,0,0,76975620,93326908683,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:35:26,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3788612,26894214.240,175,7.110,307,7.100,236,7.090,528,7.080,131,7.070,544,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:35:27,000980
0,上证指数,2827.0823,2831.1837,2807.9735,2837.5092,2804.4929,0,0,76975620,93326908683,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:35:26,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3788612,26894214.240,175,7.110,307,7.100,236,7.090,528,7.080,131,7.070,644,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:35:33,000980
0,上证指数,2827.0823,2831.1837,2807.9735,2837.5092,2804.4929,0,0,76975620,93326908683,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:35:26,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3788612,26894214.240,175,7.110,307,7.100,236,7.090,528,7.080,131,7.070,644,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:35:33,000980
0,上证指数,2827.0823,2831.1837,2807.4583,2837.5092,2804.4929,0,0,76996736,93353194404,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:35:31,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3788612,26894214.240,175,7.110,307,7.100,236,7.090,528,7.080,131,7.070,644,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:35:33,000980
0,上证指数,2827.0823,2831.1837,2807.4583,2837.5092,2804.4929,0,0,76996736,93353194404,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:35:31,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3788612,26894214.240,175,7.110,307,7.100,236,7.090,528,7.080,131,7.070,644,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:35:33,000980
0,上证指数,2827.0823,2831.1837,2807.3963,2837.5092,2804.4929,0,0,77024280,93383857903,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:35:36,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3788612,26894214.240,175,7.110,307,7.100,236,7.090,528,7.080,131,7.070,644,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:35:33,000980
0,上证指数,2827.0823,2831.1837,2807.3963,2837.5092,2804.4929,0,0,77024280,93383857903,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:35:36,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3788612,26894214.240,175,7.110,307,7.100,236,7.090,528,7.080,131,7.070,644,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:35:33,000980
0,上证指数,2827.0823,2831.1837,2807.3963,2837.5092,2804.4929,0,0,77024280,93383857903,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:35:36,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3788612,26894214.240,175,7.110,307,7.100,236,7.090,528,7.080,131,7.070,644,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:35:33,000980
0,上证指数,2827.0823,2831.1837,2807.3963,2837.5092,2804.4929,0,0,77024280,93383857903,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:35:36,000001
