key,weight
空头,10
下跌,20
利空,10
卖出,10
分散,10
熊市,10
风险,10
亏损,10
紧缩,10
利空消息,10
抛售,10
损失,10
萎缩,10
不利,10
出货,10
恶化,10
回避,10
大跌,10
淡季,10
减少,10
跌势,10
下降,1
区别,10
经济衰退,10
BearMarket,10
一底,10
弃权,10
降低,10
兵败如山倒,10
低点,10
天灾人祸,10
不能,10
挂出,10
坏消息,10
跌幅,10
明显,10
物价上涨,10
加速,10
停工,10
突发事件,10
业绩亏损,10
重组失败,10
董事被查,10
死叉,10
减持,10
业绩恶化,10
银行紧缩,10
银行利率调高,10
通货膨胀,10
处罚,10
不利,11
负面,10
高位,10
抛售,10
