code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
603277,银都股份,-0.52,11.53,11.47,11.58,11.35,11.59,1232700.00,1.87,14121053.00,20.59,2.90,462122.40,76098.00
603063,禾望电气,-0.09,10.91,11.04,11.04,10.75,10.92,824099.00,1.37,8952915.00,18.18,1.91,458220.00,65460.00
300700,岱勒新材,-4.96,46.72,44.24,47.36,44.24,49.16,3635349.00,17.65,166407402.00,28.14,7.03,384972.80,96243.20
300027,华谊兄弟,6.79,6.45,6.03,6.63,6.02,6.04,82452801.00,4.29,525932952.00,21.50,1.81,1789556.32,1238491.07
