name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,code
斯太尔,汽车配件,湖北,0.00,6.54,7.72,237887.88,81028.38,30768.28,142629.50,1.85,-0.04,2.32,1.36,19970627,-40307.01,-0.52,93.24,29.63,19.02,-43.31,45460.00,000760
海达股份,橡胶,江苏,18.75,4.53,5.54,220327.34,146313.45,36424.76,20381.48,0.37,0.08,2.13,2.97,20120601,35484.30,0.64,104.65,97.97,28.96,9.77,15204.00,300320
东方网络,电器仪表,广西,0.00,5.29,7.54,205353.81,85774.90,36010.73,38431.69,0.51,-0.05,1.34,3.11,20071012,-15470.97,-0.21,-76.55,-228.54,-3.82,-91.15,82169.00,002175
奥瑞德,元器件,重庆,24.74,7.95,12.27,659694.06,251063.02,108799.10,79023.11,0.64,0.04,2.19,1.95,19930712,104714.31,0.85,43.47,11.49,23.46,16.22,72279.00,600666
富春股份,通信设备,福建,49.45,5.84,7.41,226098.52,66603.78,2540.68,64911.11,0.88,0.03,1.71,3.00,20120319,3882.03,0.05,-18.81,-69.05,62.92,13.76,35038.00,300299
凯发电气,电气设备,天津,0.00,1.66,2.76,195056.81,165728.38,17436.47,16511.45,0.60,-0.15,3.39,2.32,20141203,47560.89,1.72,-5.10,-13.92,12.70,-17.52,19246.00,300407
南山控股,区域地产,深圳,0.00,7.38,18.78,1756733.75,1503795.88,62950.61,280562.97,1.49,-0.02,3.12,1.33,20091203,89355.50,0.48,146.29,53.37,39.71,-4.41,45217.00,002314
三维丝,环境保护,福建,0.00,2.14,3.85,258706.59,135266.05,38778.20,91488.22,2.37,-0.10,3.53,2.05,20100226,3873.06,0.10,15.78,-111.66,19.00,-34.92,21429.00,300056
南京化纤,化纤,江苏,0.00,3.07,3.66,181293.05,70121.13,82963.68,22740.70,0.62,-0.06,3.65,1.56,19960308,35921.60,0.98,-14.76,-191.75,4.78,-6.05,27152.00,600889
亿利达,专用机械,浙江,49.68,3.26,4.43,328183.72,150186.31,58667.88,50635.57,1.14,0.04,3.44,2.55,20120703,54253.61,1.22,32.96,18.35,29.84,6.82,13803.00,002686
仙坛股份,农业综合,山东,36.83,2.42,3.09,271770.59,163274.13,80798.06,118725.25,3.84,0.10,6.95,2.11,20150216,73211.75,2.37,-2.81,95.52,7.01,6.81,23151.00,002746
台基股份,半导体,湖北,34.26,2.13,2.13,103656.00,56466.78,14073.00,56347.88,2.64,0.11,4.04,3.69,20100120,10512.78,0.49,78.93,82.55,32.52,20.48,10000.00,300046
中体产业,文教休闲,天津,0.00,6.57,8.44,400156.78,356435.16,8446.37,2381.93,0.03,-0.01,1.92,6.28,19980327,62429.88,0.74,-3.61,15.99,19.45,-10.60,106858.00,600158
密尔克卫,仓储物流,上海,22.36,0.38,1.52,119281.77,70432.45,10599.10,30671.22,2.01,0.44,6.99,2.81,20180713,35132.05,2.30,0.00,0.00,21.58,8.86,38673.00,603713
达 意 隆,轻工机械,广东,244.46,1.91,1.95,160536.84,112471.47,38372.98,22323.70,1.14,0.01,3.26,2.53,20080130,18455.28,0.95,21.92,-40.77,24.47,0.65,14202.00,002209
丹邦科技,元器件,深圳,435.47,5.48,5.48,251160.25,39543.44,135021.92,71198.96,1.30,0.01,3.07,4.47,20110920,39840.59,0.73,-4.26,-45.57,38.31,5.98,22619.00,002618
江泉实业,综合类,山东,765.69,5.12,5.12,78490.96,24140.30,11071.13,46782.89,0.91,0.00,1.48,3.12,19990817,-32413.99,-0.63,-21.02,-84.27,14.70,1.35,37178.00,600212
邦讯技术,通信设备,北京,486.19,1.84,3.20,111909.90,90773.92,1369.64,33392.35,1.04,0.01,2.02,4.68,20120508,-3285.31,-0.10,-20.53,111.48,53.75,2.25,18123.00,300312
恒泰实达,软件服务,北京,957.77,0.61,1.70,84706.71,78398.40,2997.53,22321.35,1.31,0.01,4.69,6.35,20160530,20339.60,1.20,115.15,912.36,36.92,3.15,9378.00,300513
厦门信达,综合类,福建,25.97,3.78,4.07,2121633.50,1746630.38,165766.66,199549.84,4.91,0.07,7.80,1.00,19970226,64994.83,1.60,8.37,-25.91,2.16,0.28,44960.00,000701
东方环宇,供气供热,新疆,69.66,0.40,1.60,76623.53,0.00,0.00,0.00,0.00,0.12,4.61,7.25,20180709,0.00,0.00,0.00,0.00,32.85,20.96,38535.00,603706
当升科技,矿物制品,北京,96.70,3.35,4.37,451495.06,349091.84,45556.75,220728.88,5.05,0.11,7.09,4.88,20100427,41391.48,0.95,113.76,98.97,14.21,5.82,49008.00,300073
时代新材,塑料,湖南,52.94,6.61,8.03,1490343.63,931233.00,293814.00,305571.91,3.81,0.04,6.06,1.47,20021219,105180.95,1.31,2.67,61.27,16.44,1.31,52365.00,600458
凯瑞德,互联网,山东,0.00,1.76,1.76,67810.21,46591.28,289.06,19168.22,1.09,-0.03,0.32,28.55,20061018,-35039.10,-1.99,90.53,-85.18,10.51,-12.29,7603.00,002072
金安国纪,元器件,上海,19.66,2.46,7.28,443491.59,334971.91,77896.61,19133.28,0.26,0.12,3.17,3.01,20111125,132576.23,1.82,8.02,-41.88,20.08,9.70,51669.00,002636
碳元科技,元器件,江苏,134.06,1.12,2.08,104233.38,76304.90,14862.47,42398.89,2.04,0.04,4.32,5.11,20170320,22172.26,1.07,-7.51,-38.73,23.82,7.82,18646.00,603133
欣锐科技,汽车配件,深圳,77.40,0.29,1.15,112515.45,98528.06,8233.80,32822.35,2.87,0.25,8.48,8.97,20180523,28390.36,2.48,0.00,0.00,29.77,18.97,26854.00,300745
科力尔,电气设备,湖南,80.75,0.18,0.84,68069.61,50323.76,16159.40,35643.10,4.26,0.10,6.88,4.71,20170817,11959.07,1.43,0.00,0.00,19.34,5.99,13011.00,002892
拉芳家化,日用化工,广东,24.54,0.81,2.27,190453.41,157005.45,6508.10,87141.20,3.84,0.20,7.70,2.53,20170313,63195.94,2.79,-5.94,31.94,58.21,20.35,20549.00,603630
用友网络,软件服务,北京,0.00,18.73,19.00,1329872.75,645358.56,207561.81,228650.66,1.20,-0.06,3.06,8.94,20010518,138708.75,0.73,43.88,35.37,64.10,-10.05,85738.00,600588
江苏新能,新型电力,江苏,50.29,1.18,6.18,697367.63,177912.94,491609.44,227641.91,3.68,0.17,6.76,4.98,20180703,57142.69,0.92,0.00,0.00,45.97,26.65,109261.00,603693
佳发教育,软件服务,四川,165.10,0.76,1.40,79582.96,59817.32,1409.78,31708.40,2.27,0.05,4.67,7.53,20161101,25349.42,1.82,134.35,321.63,59.01,18.60,9001.00,300559
卫光生物,生物制药,深圳,57.00,0.27,1.08,141128.77,90763.86,23789.95,63930.23,5.92,0.23,11.37,4.59,20170616,41756.60,3.87,-11.75,-28.66,39.94,18.88,15110.00,002880
纵横通信,通信设备,浙江,0.00,0.28,1.12,94890.88,93881.96,603.98,24536.50,2.19,-0.03,5.71,6.45,20170810,27319.88,2.44,0.00,0.00,7.99,-4.44,15393.00,603602
飞荣达,元器件,深圳,59.68,0.62,2.04,151045.86,122941.80,22874.47,34083.90,1.67,0.16,4.87,7.70,20170126,51384.46,2.52,10.67,98.32,30.45,13.10,6716.00,300602
菲利华,玻璃,湖北,56.30,2.66,2.99,120957.22,68371.25,35031.15,15018.62,0.50,0.07,3.11,5.09,20140910,45910.60,1.53,41.94,38.40,43.60,15.93,10558.00,300395
科斯伍德,染料涂料,江苏,59.19,1.74,2.43,175340.80,73770.68,28007.59,20063.38,0.83,0.05,2.96,3.83,20110322,24250.40,1.00,134.24,33.97,35.64,4.91,11595.00,300192
伊戈尔,电气设备,广东,657.99,0.33,1.32,120400.67,72734.68,32624.49,48425.65,3.67,0.01,6.66,4.00,20171229,18125.67,1.37,0.00,0.00,24.06,0.65,20766.00,002922
中超控股,电气设备,江苏,163.37,12.59,12.68,923728.81,717266.19,110429.90,2676.49,0.02,0.01,1.49,2.14,20100910,51603.28,0.41,23.10,-42.73,13.61,0.44,96383.00,002471
深南股份,通信设备,江苏,0.00,2.24,2.70,39338.23,37979.80,162.58,40803.03,1.51,-0.05,1.24,7.35,20100601,-36985.50,-1.37,-81.29,-427.01,93.30,-164.21,18331.00,002417
通产丽星,塑料,深圳,56.21,3.65,3.65,187914.86,80793.00,87791.56,75973.88,2.08,0.04,4.14,1.89,20080528,34729.57,0.95,10.09,38.36,21.26,4.30,18038.00,002243
明德生物,医疗保健,湖北,57.96,0.17,0.67,26720.90,17522.17,5472.52,2730.45,0.41,0.20,5.09,9.32,20180710,15794.85,2.37,0.00,0.00,78.10,36.02,33441.00,002932
中兴通讯,通信设备,深圳,10.60,34.34,41.93,13913870.00,10280733.00,857807.63,1143633.25,2.73,0.40,7.65,2.23,19971118,1580211.63,3.77,12.18,39.01,33.34,5.84,312630.00,000063
沃特股份,塑料,深圳,76.52,0.50,1.18,102549.88,75013.46,16194.92,31174.06,2.65,0.09,5.41,4.82,20170627,22229.50,1.89,22.87,13.40,18.19,5.88,12355.00,002886
百润股份,红黄药酒,上海,68.40,4.59,5.32,238111.52,93983.80,92536.38,102970.18,1.94,0.05,3.58,3.69,20110325,4863.83,0.09,-9.67,25.10,68.31,10.36,24140.00,002568
瀛通通讯,通信设备,湖北,150.18,0.53,1.23,117996.47,85974.07,23053.25,45666.53,3.72,0.04,8.52,2.99,20170413,42981.21,3.50,16.84,-66.16,23.97,3.19,18869.00,002861
赫美集团,其他商业,深圳,66.26,4.80,5.28,665674.31,365075.91,18702.22,100250.34,1.90,0.04,3.45,3.35,20100209,48055.65,0.91,-19.69,48.33,55.94,3.67,11822.00,002356
益生股份,农业综合,山东,173.49,1.76,3.37,215811.72,40727.89,106992.11,102323.07,3.03,0.03,3.63,6.01,20100810,-19701.20,-0.58,5.89,211.87,17.66,4.78,23999.00,002458
大富科技,通信设备,深圳,64.56,7.12,7.67,723251.50,431399.44,145129.63,484651.84,6.31,0.04,6.98,1.53,20101026,-36342.10,-0.47,-4.02,243.60,20.04,7.01,58325.00,300134
德尔未来,家居用品,江苏,44.18,6.47,6.68,219227.47,136077.44,45778.80,12404.70,0.19,0.05,2.42,3.32,20111111,72038.67,1.08,12.48,-33.16,31.33,9.76,47748.00,002631
润达医疗,医药商业,上海,32.53,5.08,5.80,751824.56,420190.44,76247.80,102373.24,1.77,0.10,4.04,3.13,20150527,69847.50,1.21,70.58,69.99,26.81,4.36,16696.00,603108
芯能科技,电气设备,浙江,141.80,0.88,5.00,219210.59,83854.71,123671.57,42923.34,0.86,0.02,2.50,4.94,20180709,16217.49,0.32,0.00,0.00,38.38,12.35,84136.00,603105
南京新百,百货,江苏,50.41,8.71,11.12,2484623.00,901994.88,332129.19,429745.09,3.86,0.08,7.26,2.29,19931018,176050.06,1.58,11.12,251.92,36.00,2.52,13811.00,600682
瑞尔特,家居用品,福建,38.45,0.64,2.56,161987.06,117285.32,41081.78,66656.49,2.60,0.07,5.75,1.96,20160308,56232.28,2.20,-2.07,-44.69,27.10,9.91,16514.00,002790
杭电股份,电气设备,浙江,25.41,6.87,6.87,520792.81,383364.94,52753.05,86903.00,1.27,0.07,3.07,2.16,20150217,51889.15,0.76,12.63,28.54,16.78,4.69,50977.00,603618
三变科技,电气设备,浙江,0.00,1.83,2.02,116773.22,81212.40,19844.20,8425.00,0.42,-0.04,1.84,5.65,20070208,4917.72,0.24,20.23,39.92,18.19,-7.23,19076.00,002112
金龙机电,元器件,浙江,0.00,7.89,8.03,687549.38,399175.13,126680.40,319012.75,3.97,-0.03,5.00,0.93,20091225,-11428.19,-0.14,29.32,-227.05,15.12,-2.67,26221.00,300032
南京熊猫,通信设备,江苏,54.41,6.72,9.14,586273.00,450528.31,84595.85,146404.30,1.60,0.03,3.71,1.70,19961118,75720.85,0.83,20.60,146.82,14.32,2.56,37578.00,600775
宏昌电子,化工原料,广东,35.92,6.10,6.14,170939.88,105780.32,17805.95,9967.37,0.16,0.03,1.82,2.56,20120518,35143.28,0.57,48.85,109.43,13.32,5.34,34891.00,603002
圣农发展,农业综合,福建,43.59,11.01,12.39,1308122.63,270884.91,926743.81,423254.31,3.41,0.10,5.14,3.47,20091021,69649.50,0.56,3.43,91.16,13.14,5.40,27925.00,002299
华脉科技,通信设备,江苏,87.53,1.01,1.39,152907.20,116515.47,16384.56,51407.68,3.71,0.06,6.38,3.30,20170602,26118.48,1.88,12.49,-69.28,21.76,2.61,17546.00,603042
元力股份,化工原料,福建,26.21,2.20,2.45,153863.47,50808.80,32467.74,14407.80,0.59,0.21,2.55,8.70,20110201,21156.84,0.86,154.97,304.36,25.62,11.01,3016.00,300174
神马股份,化纤,河南,21.17,4.42,4.42,1038650.13,511553.94,242522.22,179027.56,4.05,0.23,5.95,3.28,19940106,16058.84,0.36,-12.15,119.82,11.74,3.67,28754.00,600810
新宙邦,化工原料,深圳,48.05,2.44,3.79,396679.13,199779.13,65590.93,120265.92,3.17,0.14,6.70,3.92,20100108,95012.13,2.50,15.84,-23.33,32.33,11.53,26624.00,300037
民和股份,农业综合,山东,0.00,2.06,3.02,229568.16,60338.17,125434.01,86187.93,2.85,-0.05,2.40,5.91,20080516,-55811.25,-1.85,33.13,79.39,11.90,-5.32,30386.00,002234
奥维通信,通信设备,辽宁,227.20,2.89,3.57,89847.92,83253.78,4543.03,16615.45,0.47,0.01,1.93,3.98,20080512,13716.55,0.38,-34.56,132.46,13.11,6.11,30610.00,002231
盛屯矿业,小金属,福建,25.92,14.97,16.77,1279606.88,727245.19,75422.52,323693.13,1.93,0.10,3.69,2.60,19960531,119603.95,0.71,81.60,64.44,4.81,2.66,106691.00,600711
和仁科技,软件服务,浙江,257.54,0.29,0.83,72127.32,50935.71,11692.55,27931.16,3.36,0.04,6.13,6.08,20161018,18030.65,2.17,26.98,175.75,41.14,6.20,11638.00,300550
华丽家族,区域地产,上海,174.48,16.02,16.02,609008.38,291524.94,11009.28,95009.28,0.59,0.01,2.25,1.86,20020709,83056.00,0.52,-78.90,-88.90,34.41,6.68,201619.00,600503
中国天楹,环境保护,江苏,70.21,11.68,13.52,787440.81,174908.05,108850.97,167896.45,1.24,0.02,2.25,2.13,19940408,91918.68,0.68,22.23,1.36,31.25,7.91,40268.00,000035
吴通控股,通信设备,江苏,24.70,8.25,12.75,354087.41,128905.88,28255.00,88094.02,0.69,0.04,2.17,1.75,20120229,57888.11,0.45,45.74,3.28,21.28,6.88,59048.00,300292
百川股份,化工原料,江苏,34.81,3.16,5.17,260962.80,149128.02,85479.53,42025.31,0.81,0.04,2.61,2.42,20100803,37958.84,0.73,34.96,23.66,12.75,3.69,31830.00,002455
中大力德,机械基件,浙江,77.12,0.20,0.80,79958.13,46085.62,24906.48,32320.94,4.04,0.16,6.81,7.18,20170829,12825.95,1.60,0.00,0.00,32.17,11.40,11789.00,002896
华谊兄弟,影视音像,浙江,17.31,19.20,27.75,2074297.00,919382.00,86449.82,253168.52,0.91,0.09,3.57,1.81,20091030,415936.78,1.50,160.50,477.87,57.90,18.25,136449.00,300027
硅宝科技,化工原料,四川,0.00,2.71,3.31,94946.35,43826.69,38395.03,4947.73,0.15,-0.00,2.25,3.10,20091030,31568.18,0.95,25.06,-132.71,17.84,-0.85,25945.00,300019
科迪乳业,乳制品,河南,44.69,5.82,10.95,290713.81,122758.71,133090.77,631.85,0.01,0.02,1.54,2.48,20150630,52588.55,0.48,21.15,3.64,23.13,8.57,37890.00,002770
海陆重工,专用机械,江苏,36.16,4.89,8.42,720705.38,485797.94,67301.03,153677.66,1.82,0.04,4.46,1.18,20080625,84576.78,1.00,141.26,48.57,19.10,6.68,43157.00,002255
兆新股份,染料涂料,深圳,57.80,12.53,18.82,389777.69,113473.72,146706.50,2895.40,0.02,0.02,1.23,3.13,20080625,35647.12,0.19,30.51,28.13,32.47,18.37,87081.00,002256
宝泰隆,焦炭加工,黑龙江,42.73,13.68,16.11,1006261.50,233088.02,184779.41,317785.63,1.97,0.04,3.59,1.79,20110309,96084.85,0.60,34.05,177.36,26.16,7.43,129176.00,601011
中兵红箭,矿物制品,湖南,37.44,7.35,14.03,961792.19,613154.94,234036.30,352332.28,2.51,0.06,5.43,1.67,19931008,255152.66,1.82,52.64,587.98,25.76,9.28,90453.00,000519
英联股份,广告包装,广东,83.45,0.50,1.95,75328.00,36477.65,21995.50,20637.97,1.06,0.04,2.75,4.76,20170207,14267.84,0.73,97.01,-34.99,16.39,4.82,21206.00,002846
金一文化,服饰,北京,14.25,5.24,8.35,1863817.00,1466201.63,50252.26,304949.19,3.65,0.15,5.76,1.44,20140127,90611.96,1.09,62.05,310.72,8.86,2.46,30873.00,002721
兆日科技,元器件,深圳,220.20,3.31,3.36,88535.42,56449.23,11371.19,38784.60,1.15,0.01,2.56,4.17,20120628,10254.03,0.31,12.73,-48.59,56.53,7.72,60738.00,300333
晶瑞股份,化工原料,江苏,82.10,0.84,1.51,107997.17,61162.78,28490.48,25749.99,1.71,0.06,3.07,6.59,20170523,9924.21,0.66,45.87,43.21,25.89,5.73,8991.00,300655
渝三峡Ａ,染料涂料,重庆,46.98,4.34,4.34,148000.45,73497.38,24652.99,6151.98,0.14,0.03,2.43,1.97,19940408,43590.84,1.01,-83.94,-34.95,20.87,7.34,45669.00,000565
科恒股份,元器件,广东,40.95,1.53,2.12,374883.38,253708.09,27874.98,96193.24,4.53,0.13,6.99,3.14,20120726,33587.34,1.58,87.18,37.24,14.62,4.66,21792.00,300340
柯利达,装修装饰,江苏,22.01,4.21,4.29,332324.63,201965.11,10750.37,36260.90,0.84,0.08,2.56,2.75,20150226,41645.10,0.97,20.96,31.86,12.85,10.23,13175.00,603828
新宁物流,仓储物流,江苏,95.73,2.35,2.98,268260.75,102336.81,49554.80,90530.74,3.04,0.02,4.63,1.90,20091030,15809.15,0.53,20.86,-43.23,34.48,3.29,17926.00,300013
道氏技术,陶瓷,广东,36.66,2.43,3.87,467046.69,308439.59,58660.85,66636.40,1.72,0.17,3.87,6.37,20141203,47662.17,1.23,437.64,284.78,34.75,8.76,12961.00,300409
三星医疗,电器仪表,浙江,26.67,14.18,14.27,1383288.25,608094.06,126419.13,324591.09,2.27,0.07,5.37,1.39,20110615,257859.41,1.81,24.46,2.61,30.78,8.66,27572.00,601567
三川智慧,电器仪表,江西,57.12,9.58,10.40,179576.13,111657.32,26113.38,6782.97,0.07,0.02,1.48,2.64,20100326,33479.95,0.32,12.41,-17.45,32.64,12.54,53310.00,300066
友讯达,通信设备,深圳,114.06,0.90,2.00,72338.75,68598.81,1554.80,21389.97,1.07,0.04,2.47,7.61,20170426,16094.47,0.80,24.77,-6.17,40.60,7.86,12010.00,300514
信息发展,软件服务,上海,0.00,0.97,1.22,120729.17,84026.68,1839.18,22466.65,1.84,-0.15,3.31,6.93,20150611,15062.50,1.23,-9.21,12.76,45.10,-41.62,15609.00,300469
石英股份,矿物制品,江苏,49.37,3.36,3.37,140182.27,81510.49,33506.81,46915.07,1.39,0.07,3.91,3.60,20141031,45404.43,1.35,29.34,61.36,39.20,16.90,13510.00,603688
松发股份,陶瓷,广东,41.25,1.23,1.25,125536.52,50656.03,23517.92,25043.86,2.00,0.09,4.77,3.26,20150319,25722.10,2.06,39.84,72.29,38.95,8.81,8507.00,603268
飞力达,仓储物流,江苏,42.38,3.65,3.66,226528.22,139226.13,32912.85,21162.53,0.58,0.04,2.96,2.23,20110706,47583.46,1.30,30.18,-8.36,10.78,1.74,21693.00,300240
新研股份,农用机械,新疆,55.06,9.51,14.90,934797.50,304240.16,151469.38,345429.47,2.32,0.03,4.20,1.77,20110107,122894.82,0.82,131.70,7387.99,26.42,25.58,35721.00,300159
神州数码,综合类,深圳,24.34,3.58,6.54,2282791.50,1748764.25,20070.90,238062.77,3.64,0.17,5.27,3.14,19940509,35888.10,0.55,29.12,30.66,4.65,0.71,28530.00,000034
中国海诚,建筑施工,上海,18.38,4.16,4.18,388733.00,352729.38,24117.51,9631.20,0.23,0.10,3.27,2.29,20070215,67569.43,1.62,-3.18,-2.62,10.99,4.43,23767.00,002116
亚翔集成,装修装饰,江苏,29.30,0.97,2.13,175589.44,170806.77,2034.98,25862.38,1.21,0.19,4.79,4.63,20161230,49665.60,2.33,7.54,-27.91,8.39,6.53,16669.00,603929
鲁抗医药,化学制药,山东,22.57,5.82,6.77,639588.13,326495.19,170552.27,187511.91,2.77,0.13,4.32,2.80,19970226,22052.00,0.33,38.46,589.15,31.97,10.33,103338.00,600789
埃斯顿,机械基件,江苏,179.97,8.25,8.38,320464.47,178142.19,25748.00,51958.03,0.62,0.02,1.88,8.25,20150320,26276.05,0.31,123.69,35.09,40.51,5.98,36283.00,002747
华英农业,农业综合,河南,66.38,4.24,5.34,809170.13,526272.81,192704.09,161464.55,3.02,0.02,4.68,1.34,20091216,29426.72,0.55,65.63,45.90,11.18,1.10,41337.00,002321
杉杉股份,综合类,浙江,37.91,8.22,11.23,2449561.75,1056502.25,289085.84,295225.94,2.63,0.13,10.06,2.01,19960130,307345.38,2.74,17.94,79.54,26.20,8.26,76678.00,600884
中粮生化,农业综合,安徽,48.46,9.64,9.64,623617.25,219169.84,214834.45,90302.13,0.94,0.05,1.93,5.30,19990712,-22747.60,-0.24,23.94,-30.97,14.20,2.68,159963.00,000930
永和智控,机械基件,浙江,154.68,0.64,2.00,71899.15,54738.96,6948.21,24386.23,1.22,0.04,3.12,7.53,20160428,14280.20,0.71,23.07,-37.06,23.66,5.76,23176.00,002795
平高电气,电气设备,河南,0.00,13.57,13.57,1890307.63,1377443.38,300481.50,490188.25,3.61,-0.02,6.50,0.86,20010221,207602.81,1.53,-19.64,-131.19,14.46,-2.70,66071.00,600312
威帝股份,汽车配件,黑龙江,32.67,3.60,3.60,61738.40,50277.90,2676.57,662.03,0.02,0.05,1.61,3.75,20150527,15842.48,0.44,34.13,38.50,55.30,42.37,21187.00,603023
正海生物,医疗保健,山东,65.92,0.43,0.80,55244.03,47763.01,2510.65,26941.81,3.37,0.27,6.31,11.43,20170516,14219.01,1.78,28.79,181.29,92.70,46.38,9036.00,300653
神州长城,装修装饰,深圳,6.49,7.53,16.98,1180655.13,1012879.81,31994.22,-129934.97,-0.77,0.13,1.39,2.40,19920616,172162.70,1.01,-12.87,120.66,24.77,23.66,67825.00,000018
东方材料,染料涂料,浙江,73.34,0.36,1.44,72629.18,54300.70,13588.55,27989.30,1.95,0.06,4.41,3.83,20171013,23414.52,1.63,0.00,0.00,27.38,8.22,13354.00,603110
长缆科技,电气设备,湖南,33.04,1.27,1.93,168948.69,144215.97,17917.82,76383.56,3.96,0.13,7.36,2.29,20170707,45522.09,2.36,15.58,5.41,50.30,18.63,19200.00,002879
西藏城投,区域地产,西藏,70.14,7.29,8.20,1178003.38,1055327.38,48176.71,164247.75,2.00,0.03,3.94,1.83,19961108,76520.61,0.93,46.13,76.01,36.50,6.65,57845.00,600773
美思德,化工原料,江苏,43.87,0.47,1.01,79527.40,61407.71,13708.50,31495.69,3.12,0.11,7.19,2.62,20170330,26823.02,2.66,-4.28,-37.84,27.46,13.67,11331.00,603041
林洋能源,电器仪表,江苏,14.65,17.49,17.65,1703197.38,680939.81,835378.00,477372.59,2.70,0.08,5.00,0.97,20110808,216619.02,1.23,-10.95,10.15,44.51,25.16,45254.00,601222
亿嘉和,专用机械,江苏,61.54,0.18,0.70,49586.06,41233.03,1387.04,11626.32,1.66,0.49,6.54,18.32,20180612,15502.15,2.21,0.00,0.00,65.83,43.12,17551.00,603666
宁波精达,专用机械,浙江,44.55,1.12,1.12,76873.31,47511.89,18178.61,23585.03,2.11,0.08,4.47,3.11,20141111,15761.88,1.41,13.39,25.30,40.20,11.77,9404.00,603088
英派斯,文教休闲,山东,110.19,0.30,1.20,120439.52,90348.06,18197.43,62523.36,5.21,0.05,7.98,2.76,20170915,18716.98,1.56,11.45,-61.27,27.74,3.44,18153.00,002899
吉峰农机,农用机械,四川,879.13,3.21,3.80,230822.55,196767.19,15129.27,19884.25,0.52,0.00,0.54,8.07,20091030,-39287.28,-1.03,-2.52,-13.53,14.81,0.10,38067.00,300022
*ST三维,化工原料,山西,0.00,4.69,4.69,167093.91,39541.55,112634.26,116655.92,2.49,-0.06,1.39,3.11,19970627,-111474.46,-2.38,-6.03,79.22,1.11,-5.07,43389.00,000755
石基信息,软件服务,北京,125.21,4.84,10.67,713018.00,433815.25,32254.15,166440.42,1.56,0.06,4.99,6.30,20070813,253640.80,2.38,-3.18,6.58,50.20,12.60,26347.00,002153
珈伟股份,半导体,深圳,59.27,3.24,8.40,906883.00,448626.34,255581.27,331681.34,3.95,0.03,5.89,1.24,20120511,79440.15,0.95,-30.11,-73.67,30.75,5.45,33092.00,300317
丰原药业,化学制药,安徽,50.79,3.12,3.17,281679.34,157126.36,78586.15,50661.20,1.60,0.04,3.84,1.91,20000920,32349.05,1.02,35.52,22.12,32.04,1.60,34906.00,000153
*ST尤夫,化纤,浙江,40.70,3.85,3.98,775065.25,416360.44,187770.23,59333.01,1.49,0.04,4.57,1.47,20100608,73201.40,1.84,-0.56,-60.30,24.87,1.92,14545.00,002427
ST山水,文教休闲,山西,263.11,2.02,2.02,52800.05,7040.95,239.61,32897.26,1.62,0.01,0.36,19.45,20000615,-47166.82,-2.33,850.14,123.84,38.29,4.05,10594.00,600234
引力传媒,影视音像,北京,56.04,2.68,2.71,209993.27,140877.97,631.82,12158.49,0.45,0.05,2.51,4.73,20150527,32011.65,1.18,45.13,13.16,8.42,1.61,24620.00,603598
德威新材,塑料,江苏,57.28,7.95,10.06,451857.41,306805.28,73614.36,4014.53,0.04,0.02,1.48,2.59,20120601,41190.15,0.41,58.82,82.31,16.38,2.87,21325.00,300325
*ST成城,商贸代理,吉林,14.72,3.36,3.36,97234.11,7185.52,167.74,21929.07,0.65,0.08,0.09,51.79,20001123,-58340.68,-1.73,-88.80,108.46,12.04,136.69,20009.00,600247
京威股份,汽车配件,北京,0.00,14.57,15.00,1118476.88,409305.47,195755.88,165025.45,1.10,-0.02,3.41,1.41,20120309,167319.69,1.12,2.09,-136.34,21.98,-1.97,29852.00,002662
名雕股份,装修装饰,深圳,0.00,0.40,1.33,105713.76,83484.61,12613.13,16081.09,1.21,-0.14,4.43,4.92,20161213,26219.36,1.97,10.34,-3.36,17.46,-16.43,17304.00,002830
双林股份,汽车服务,浙江,24.45,3.86,4.01,651596.81,318414.72,142906.61,106754.27,2.66,0.12,6.99,1.61,20100806,111801.20,2.79,15.67,-48.82,20.32,4.35,27329.00,300100
中能电气,电气设备,福建,266.48,1.89,3.08,217223.55,138694.52,50693.53,24268.85,0.79,0.01,2.60,2.60,20100319,22329.32,0.72,22.46,-51.13,34.07,1.21,21783.00,300062
金隅集团,水泥,北京,0.00,81.45,106.78,23530462.00,14587232.00,4518128.00,581989.88,0.55,-0.02,3.82,0.89,20110301,2239812.00,2.10,-12.34,-148.26,22.27,-2.14,217473.00,601992
神开股份,化工机械,上海,0.00,3.44,3.64,151648.86,101475.15,20750.98,47822.73,1.31,-0.01,2.93,3.20,20090811,15820.04,0.43,-5.02,22.74,34.46,-4.10,16751.00,002278
广东榕泰,塑料,广东,24.71,6.62,7.05,515278.81,255221.55,89536.32,129970.50,1.84,0.05,4.40,1.04,20010612,95643.40,1.36,14.42,12.28,24.13,9.13,38822.00,600589
和顺电气,电气设备,江苏,127.81,1.63,2.55,121706.60,108104.67,8419.26,23611.15,0.93,0.02,2.74,3.12,20101112,20795.23,0.82,11.46,2.94,23.43,3.16,22235.00,300141
英飞拓,电脑设备,深圳,0.00,8.64,11.99,442564.81,271737.56,10050.60,187363.72,1.56,-0.00,2.78,1.51,20101224,-13389.02,-0.11,39.13,96.39,25.10,-0.10,51151.00,002528
