name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,code
百利电气,电气设备,天津,64.57,7.98,8.11,278445.78,195156.22,34326.55,75342.49,0.93,0.02,2.25,2.35,20010615,22972.95,0.28,17.14,1.86,19.80,5.31,24502.00,600468
华体科技,电气设备,四川,46.94,0.35,1.01,73188.43,60026.65,5577.74,20725.25,2.05,0.12,5.39,4.01,20170621,20924.35,2.07,80.07,58.69,31.16,9.10,5783.00,603679
徕木股份,元器件,上海,48.56,0.83,1.20,110523.02,61884.82,38282.94,19770.26,1.64,0.08,5.93,2.76,20161117,35410.18,2.94,20.39,15.75,30.85,10.09,14161.00,603633
闽东电力,水力发电,福建,0.00,3.73,4.58,399915.66,97524.43,156185.66,164939.25,3.60,-0.14,4.75,1.16,20000731,4081.38,0.09,-62.82,-3537.75,5.03,-80.21,38797.00,000993
精功科技,专用机械,浙江,51.77,4.55,4.55,182027.41,124546.92,21593.05,26953.47,0.59,0.03,2.28,2.43,20040625,20992.53,0.46,-2.84,5.37,13.81,7.46,42328.00,002006
华安证券,证券,安徽,31.66,27.02,36.21,4686731.50,0.00,53251.13,511049.41,1.41,0.04,3.42,1.62,20161206,213439.02,0.59,-6.39,-3.96,0.00,38.23,169815.00,600909
汇纳科技,互联网,上海,0.00,0.53,1.01,53121.80,44618.98,420.10,23149.52,2.29,-0.00,4.71,5.91,20170215,14341.00,1.42,58.91,84.24,66.98,-1.54,11382.00,300609
常熟银行,银行,江苏,8.41,9.97,22.23,15210552.00,0.00,105121.10,69405.00,0.31,0.17,5.19,1.08,20160930,215931.59,0.97,12.50,16.76,0.00,28.65,67902.00,601128
新华网,互联网,北京,91.83,1.76,5.19,363723.78,271964.22,17774.24,158260.92,3.05,0.05,5.27,3.18,20161028,51921.68,1.00,18.69,13.29,42.21,9.68,33258.00,603888
四创电子,通信设备,安徽,0.00,1.37,1.59,610980.13,396487.28,56419.30,91107.11,5.72,-0.37,13.15,3.45,20040510,87376.68,5.49,-18.23,-76.94,12.91,-20.11,17649.00,600990
无锡银行,银行,江苏,9.84,8.04,18.48,14028230.00,0.00,89964.80,95487.30,0.52,0.14,5.17,1.10,20160923,73901.30,0.40,14.26,12.01,0.00,34.63,68220.00,600908
西仪股份,汽车配件,云南,258.72,3.03,3.19,152635.34,91810.11,38989.65,57222.63,1.80,0.01,3.06,3.71,20080806,5223.89,0.16,-7.91,-56.35,17.90,1.58,46103.00,002265
民生银行,银行,北京,4.22,354.62,437.82,600250816.00,0.00,4502300.00,6475300.00,1.48,0.34,8.79,0.66,20001219,16681699.00,3.81,1.43,5.23,0.00,40.66,385637.00,600016
深南电A,火力发电,深圳,0.00,3.39,6.03,317200.28,155235.38,140380.27,36277.09,0.60,-0.02,3.23,1.79,19940701,64924.82,1.08,26.59,60.10,4.58,-2.71,33019.00,000037
佳士科技,专用机械,深圳,32.27,4.59,5.07,265083.19,222104.72,34426.75,127903.71,2.52,0.04,4.53,1.29,20110322,45383.55,0.89,-0.63,22.64,34.25,13.12,36511.00,300193
建新矿业,铅锌,重庆,30.19,11.37,11.37,248889.16,109950.70,76025.50,18883.17,0.17,0.10,2.01,5.85,19970120,74154.06,0.65,34.73,27.25,55.19,35.42,37125.00,000688
泛海控股,全国地产,北京,5.03,50.95,51.96,19864866.00,13752354.00,100414.36,522734.91,1.01,0.29,4.09,1.44,19940912,897097.19,1.73,-82.81,249.42,42.22,467.36,40055.00,000046
大立科技,电器仪表,浙江,328.80,3.55,4.59,135597.50,104231.53,8946.69,19816.56,0.43,0.00,2.17,2.71,20080218,29301.35,0.64,8.91,18.21,51.48,3.87,45124.00,002214
百大集团,百货,浙江,18.53,3.76,3.76,212987.22,64105.13,14043.25,23346.42,0.62,0.08,4.56,1.31,19940809,80330.36,2.14,-21.77,100.28,30.27,14.00,31025.00,600865
宁波韵升,电器仪表,浙江,75.42,9.88,10.03,613193.25,320964.00,92150.49,62803.73,0.63,0.02,4.65,1.29,20001030,325451.81,3.25,15.70,-75.16,16.98,4.56,55848.00,600366
易尚展示,家居用品,深圳,236.48,0.93,1.55,269162.00,94002.00,6781.99,56201.66,3.64,0.03,6.03,5.00,20150424,21790.93,1.41,13.33,248.11,34.31,3.61,25572.00,002751
烽火电子,通信设备,陕西,0.00,5.94,6.04,277187.41,215634.30,30416.10,20266.13,0.34,-0.03,2.09,2.90,19940509,51016.45,0.84,34.33,1.98,35.78,-10.83,54164.00,000561
宁波联合,综合类,浙江,164.75,3.11,3.11,685280.44,465260.56,73528.95,14729.86,0.47,0.01,7.65,0.80,19970410,132343.94,4.26,43.64,-66.66,11.60,0.39,24217.00,600051
第一创业,证券,深圳,77.67,19.18,35.02,3523666.75,0.00,14220.90,259304.80,0.74,0.02,2.55,2.40,20160511,174134.75,0.50,20.23,0.55,0.00,15.57,267380.00,002797
维科技术,电气设备,浙江,0.00,2.93,4.55,250396.66,156768.27,37668.09,80655.03,1.77,-0.01,3.11,1.98,19980609,2162.87,0.05,-24.96,52.65,16.76,-1.97,31381.00,600152
杭州解百,百货,浙江,17.74,7.15,7.15,514564.31,282658.69,93660.68,1428.49,0.02,0.09,3.33,1.85,19940114,144961.06,2.03,8.25,43.89,22.47,3.91,34449.00,600814
世运电路,元器件,广东,50.30,1.28,4.02,313748.72,224707.16,70022.03,131502.31,3.27,0.06,5.89,2.11,20170426,56782.65,1.41,18.90,-49.96,21.15,5.30,33995.00,603920
新疆天业,化工原料,新疆,9.59,8.32,9.73,916152.50,268198.41,538017.00,132863.88,1.37,0.16,4.62,1.35,19970617,194196.23,2.00,17.22,0.35,30.75,13.91,55230.00,600075
龙净环保,环境保护,福建,36.22,10.69,10.69,1518486.00,1329064.25,100822.00,46882.73,0.44,0.09,4.32,2.93,20001229,276129.66,2.58,5.81,11.08,25.40,7.72,108068.00,600388
三丰智能,专用机械,湖北,49.28,2.00,5.48,468360.44,203777.34,27444.15,163080.52,2.98,0.07,5.02,2.53,20111115,25826.77,0.47,264.84,1096.62,27.33,12.73,35974.00,300276
华伍股份,机械基件,江西,30.76,2.28,3.79,260129.88,131566.59,33536.35,57972.38,1.53,0.05,3.46,1.84,20100728,31912.56,0.84,50.39,81.96,38.02,11.35,15171.00,300095
中航高科,航空,江苏,46.09,7.91,13.93,688744.31,440580.66,108843.13,144466.98,1.04,0.04,2.54,2.52,19940520,36759.26,0.26,-2.00,-26.24,22.61,6.81,61532.00,600862
国恩股份,塑料,山东,31.67,0.87,2.71,281417.91,196758.81,62954.92,92642.06,3.42,0.22,6.62,3.90,20150630,54059.98,1.99,75.37,63.38,19.23,9.48,13584.00,002768
万顺股份,广告包装,广东,42.11,2.94,4.40,553074.81,280519.31,202272.77,123146.82,2.80,0.04,5.46,1.19,20100226,67294.97,1.53,48.37,3.12,10.53,1.86,14433.00,300057
运达科技,软件服务,四川,167.94,4.46,4.52,178429.86,161609.13,12178.12,28747.48,0.64,0.01,2.86,2.28,20150423,53202.38,1.18,-4.77,-60.79,50.51,5.08,24720.00,300440
龙元建设,建筑施工,浙江,11.59,9.48,15.30,3856493.25,2788031.00,54523.98,147842.81,0.97,0.17,4.86,1.35,20040524,266471.81,1.74,36.11,80.91,9.64,4.00,40991.00,600491
同兴达,元器件,深圳,27.55,0.62,2.03,326953.28,276157.75,22873.90,51755.80,2.55,0.18,5.03,3.91,20170125,39829.28,1.96,-32.36,-22.06,9.75,5.91,20500.00,002845
东北制药,化学制药,辽宁,35.72,4.73,5.70,1132743.63,630925.44,306209.91,177903.94,3.12,0.11,5.24,2.50,19960523,13207.12,0.23,36.39,380.21,40.51,2.64,34733.00,000597
永新股份,塑料,安徽,19.32,4.85,5.04,235072.95,155624.44,65370.73,59868.15,1.19,0.09,3.59,1.83,20040708,68632.60,1.36,19.23,2.23,20.92,8.47,21093.00,002014
新疆浩源,供气供热,新疆,32.77,3.13,4.22,113380.61,64933.91,39705.15,2375.48,0.06,0.05,2.33,2.86,20120921,47355.26,1.12,6.89,-6.55,32.91,21.21,23322.00,002700
张家界,旅游景点,湖南,0.00,2.58,4.05,232673.09,18424.46,59368.15,85254.40,2.11,-0.05,3.80,1.75,19960829,23395.07,0.58,-18.24,-240.67,8.44,-26.31,25366.00,000430
申通地铁,公共交通,上海,37.74,4.77,4.77,263907.66,44010.53,122554.85,7974.25,0.17,0.04,3.11,2.16,19940224,71937.86,1.51,-2.76,-13.63,12.61,12.27,39359.00,600834
彩虹股份,元器件,陕西,0.00,7.36,35.88,3668099.25,1234820.75,323440.78,2055041.63,5.73,-0.01,5.68,1.18,19960520,-398701.28,-1.11,55.62,42.14,14.90,-19.70,58464.00,600707
中钢天源,元器件,安徽,18.41,2.99,3.85,166990.27,112095.00,34865.98,66124.96,1.72,0.09,3.34,2.02,20060802,32592.77,0.85,2.95,-8.64,25.30,11.83,19978.00,002057
绿城水务,水务,广西,17.65,7.36,7.36,827506.00,143942.91,404569.78,91018.75,1.24,0.10,4.27,1.59,20150612,128608.07,1.75,3.67,7.02,45.00,24.95,43610.00,601368
国轩高科,电气设备,江苏,24.12,11.13,11.37,1689125.25,1041266.38,332637.97,457538.59,4.03,0.14,7.38,1.85,20061018,276856.22,2.44,-4.32,-20.33,32.87,15.19,68660.00,002074
杰赛科技,软件服务,广东,59.69,5.12,5.71,636697.75,541441.94,61344.32,63185.19,1.11,0.06,3.75,3.69,20110128,85232.05,1.49,3.02,2.91,17.72,3.38,37777.00,002544
新世界,百货,上海,8.92,5.32,6.47,591629.19,255199.97,254099.91,156532.80,2.42,0.20,6.91,1.01,19930119,189228.42,2.93,-4.59,-53.15,32.29,17.47,53698.00,600628
中电兴发,软件服务,安徽,31.35,4.68,7.04,627485.88,392861.59,59193.75,290271.03,4.12,0.06,6.17,1.14,20090929,68666.40,0.98,29.67,74.46,28.52,8.84,48104.00,002298
经纬辉开,电气设备,天津,29.99,2.13,3.90,271611.72,120842.13,58766.85,135983.63,3.49,0.06,4.64,1.52,20100917,13582.73,0.35,235.27,307.64,21.67,4.90,11158.00,300120
弘讯科技,电气设备,浙江,28.10,4.02,4.07,159228.80,116044.47,23087.30,46443.76,1.14,0.06,3.01,2.36,20150303,33941.55,0.83,8.62,17.26,37.86,13.42,25351.00,603015
雷迪克,汽车配件,浙江,34.97,0.30,0.88,88747.13,67001.31,8132.74,35097.00,3.99,0.15,7.61,2.82,20170516,20737.56,2.36,3.66,-18.27,29.01,12.74,11110.00,300652
长春高新,生物制药,吉林,50.68,1.70,1.70,780221.13,564227.38,110704.10,196590.00,11.56,1.24,26.45,9.47,19961218,201930.95,11.87,39.27,46.26,89.37,20.38,14284.00,000661
东方明珠,影视音像,上海,21.65,26.27,26.41,3730572.50,2160731.75,257293.17,1220439.75,4.62,0.18,10.58,1.35,19930316,1178954.88,4.46,-24.49,1.72,32.19,15.62,155458.00,600637
森源电气,电气设备,河南,41.43,9.10,9.30,869486.81,687314.44,102612.67,239045.59,2.57,0.09,5.35,2.69,20100210,145260.23,1.56,21.10,40.73,30.21,15.09,31830.00,002358
中航善达,房产服务,深圳,18.01,6.67,6.67,1913392.38,1112416.50,62311.80,54378.46,0.82,0.10,6.37,1.15,19940928,272219.97,4.08,51.86,188.31,21.72,4.40,22487.00,000043
井神股份,化工原料,江苏,33.92,2.79,5.59,463968.50,153588.52,257891.00,88246.36,1.58,0.06,3.86,1.94,20151231,63965.40,1.14,9.80,8.08,27.69,4.74,52364.00,603299
帝龙文化,软件服务,浙江,9.66,5.24,8.51,640006.06,250147.41,33371.09,302910.44,3.56,0.20,6.13,1.23,20080612,128739.31,1.51,79.47,109.35,23.97,18.69,13000.00,002247
南京银行,银行,江苏,5.57,84.82,84.82,117940520.00,0.00,721162.13,1324221.25,1.56,0.34,7.24,1.05,20070719,2532789.50,2.99,7.53,17.61,0.00,43.07,110709.00,601009
高澜股份,专用机械,广东,0.00,0.68,1.20,100451.36,68865.40,13878.54,21531.49,1.79,-0.07,5.13,2.96,20160202,25104.01,2.09,6.12,-54.87,28.72,-7.31,11006.00,300499
银信科技,软件服务,北京,44.08,3.38,4.42,178993.20,130993.35,13414.05,62043.82,1.40,0.04,3.01,2.54,20110615,24327.89,0.55,44.05,5.00,27.84,7.63,46710.00,300231
