code,name,mbrg,nprg,nav,targ,epsg,seg
300439,美康生物,45.18,27.12,20.31,29.01,46.15,17.35
601021,春秋航空,25.63,27.12,61.44,28.99,21.05,61.44
300009,安科生物,40.49,27.09,23.41,20.05,-3.02,23.32
300428,四通新材,0.34,27.00,14.24,16.32,42.86,14.17
000069,华侨城A,2.97,26.99,38.62,51.36,48.00,20.69
002304,洋河股份,25.68,26.97,14.49,14.27,26.92,14.49
603876,鼎胜新材,25.18,26.82,7.37,10.99,77.78,6.95
300489,中飞股份,-24.08,26.80,2.24,6.70,26.84,2.24
600059,古越龙山,11.18,26.63,2.52,1.69,25.00,2.54
002747,埃斯顿,123.69,26.53,11.99,52.26,-60.00,7.66
603157,拉夏贝尔,9.88,26.52,7.37,10.99,23.08,6.95
603022,新通联,18.73,26.48,3.01,6.21,0.00,3.01
000688,建新矿业,34.73,26.46,23.59,23.23,27.23,24.02
000795,英洛华,17.66,26.39,5.20,4.77,15.38,5.36
603136,天目湖,2.77,26.31,7.37,10.99,-4.35,6.95
603998,方盛制药,87.07,26.29,6.20,9.05,25.00,6.53
002344,海宁皮城,5.41,26.22,3.34,-13.30,28.57,3.67
002408,齐翔腾达,46.43,26.18,13.25,12.29,27.27,13.37
603660,苏州科达,42.72,26.18,23.50,35.90,26.25,23.55
300463,迈克生物,42.90,26.15,8.28,35.38,28.57,5.65
300067,安诺其,-9.78,26.12,47.37,15.52,-4.83,48.17
002271,东方雨虹,27.16,26.11,36.92,47.77,22.22,33.74
300418,昆仑万维,4.00,26.10,86.88,55.29,0.00,88.67
300705,九典制药,87.72,26.09,7.37,10.99,-8.33,6.95
000976,华铁股份,-41.67,26.08,14.56,8.92,0.00,14.50
000960,锡业股份,17.93,26.07,35.49,13.95,7.45,37.96
600298,安琪酵母,14.90,26.03,16.19,11.97,30.26,17.36
300586,美联新材,38.92,25.92,10.65,28.19,20.00,10.65
002749,国光股份,19.73,25.92,-3.16,0.50,25.91,-3.16
600710,苏美达,4.88,25.90,7.70,6.59,0.00,7.15
603506,南都物业,33.46,25.88,7.37,10.99,3.57,6.95
300622,博士眼镜,14.29,25.88,9.66,12.30,-5.17,8.73
603811,诚意药业,49.47,25.76,6.88,10.49,-4.55,6.88
300522,世名科技,16.26,25.63,6.38,8.22,-30.05,6.38
600211,西藏药业,-13.40,25.60,189.05,1.91,2.70,188.05
601900,南方传媒,9.15,25.58,12.29,9.65,35.71,36.80
600757,长江传媒,-19.98,25.56,10.38,3.51,25.00,10.37
601899,紫金矿业,23.87,25.51,17.03,-0.90,0.00,21.82
300026,红日药业,31.58,25.46,7.88,3.04,50.00,7.41
002295,精艺股份,24.38,25.41,5.95,16.57,26.00,5.95
002262,恩华药业,10.49,25.41,16.18,8.21,-25.50,17.29
601788,光大证券,15.29,25.34,3.00,14.69,24.49,3.13
300284,苏交科,10.94,25.31,20.61,20.55,18.34,21.47
300715,凯伦股份,33.10,25.26,7.37,10.99,-5.96,6.95
300199,翰宇药业,30.39,25.22,7.60,31.32,25.29,7.60
002730,电光科技,29.58,25.16,6.04,9.78,0.00,5.99
002140,东华科技,31.04,25.15,-3.41,1.90,25.54,-3.96
002568,百润股份,-9.67,25.10,17.50,13.47,100.00,17.50
000951,中国重汽,29.42,25.01,17.68,15.24,16.00,15.19
002653,海思科,75.14,24.92,-12.38,12.60,50.00,-11.55
603585,苏利股份,7.70,24.80,15.92,10.49,-14.89,13.14
600875,东方电气,18.05,24.77,3.47,-7.67,28.57,3.72
300367,东方网力,27.51,24.72,12.44,11.50,21.17,12.22
002347,泰尔股份,48.60,24.71,-6.84,11.08,67.92,-7.26
000902,新洋丰,8.50,24.71,9.85,6.91,23.53,10.19
300720,海川智能,13.76,24.60,7.37,10.99,-11.11,6.95
603365,水星家纺,24.79,24.58,7.37,10.99,-6.90,6.95
002745,木林森,31.70,24.55,8.16,15.75,24.00,9.78
603039,泛微网络,46.29,24.53,17.21,36.03,17.65,18.51
603233,大参林,17.11,24.52,101.58,53.01,12.12,101.95
600076,康欣新材,94.95,24.38,17.41,32.47,18.18,16.27
000407,胜利股份,36.15,24.26,4.46,39.15,33.33,3.14
002620,瑞和股份,42.11,24.24,5.70,11.51,-45.45,5.04
603037,凯众股份,29.79,24.16,10.25,15.08,-4.65,10.20
300113,顺网科技,66.26,24.16,25.19,18.65,21.05,24.44
600320,振华重工,11.04,24.00,1.18,9.55,-5.00,-1.93
600335,国机汽车,-22.78,23.99,6.80,36.20,23.64,7.79
002641,永高股份,11.91,23.87,5.93,8.61,0.00,5.93
300396,迪瑞医疗,22.46,23.81,3.28,4.38,25.06,13.41
002022,科华生物,25.08,23.79,10.88,19.40,10.89,8.30
002040,南京港,8.46,23.74,4.37,-1.41,24.25,4.45
000567,海德股份,109.51,23.73,1616.48,473.07,23.67,1616.48
600223,鲁商置业,1.16,23.69,2.93,2.39,0.00,4.78
002455,百川股份,34.96,23.66,55.36,28.13,25.00,55.36
601390,中国中铁,10.13,23.63,11.67,10.09,22.43,11.12
000022,深赤湾A,31.46,23.61,3.65,18.87,5.58,-11.08
300295,三六五网,7.30,23.59,8.38,31.27,11.11,8.06
603883,老百姓,27.90,23.58,56.75,41.96,9.52,54.11
300193,佳士科技,-0.63,23.57,7.29,5.97,25.00,7.11
002171,楚江新材,38.24,23.57,3.74,17.97,-38.31,3.74
300741,华宝股份,8.32,23.54,7.37,10.99,17.07,6.95
300717,华信新材,21.21,23.52,7.37,10.99,-7.39,6.95
600273,嘉化能源,3.82,23.46,59.52,20.88,11.11,59.47
603733,仙鹤股份,31.42,23.41,7.37,10.99,28.57,6.95
600113,浙江东日,15.92,23.40,16.98,7.09,25.00,16.33
603288,海天味业,17.04,23.32,17.87,23.78,25.00,17.87
603348,文灿股份,13.34,23.31,7.37,10.99,23.28,6.95
002243,通产丽星,10.09,23.29,2.35,3.94,38.25,1.86
002032,苏泊尔,23.83,23.29,13.57,16.52,-4.82,14.01
603966,法兰泰克,25.89,23.25,5.97,14.48,0.00,5.97
603321,梅轮电梯,13.40,23.23,7.37,10.99,-33.33,6.95
002412,汉森制药,13.86,23.22,-2.52,2.37,23.25,-2.51
002380,科远股份,2.28,23.20,4.51,7.33,0.00,4.39
002624,完美世界,-5.63,23.20,6.46,-1.94,8.00,9.05
600977,中国电影,21.54,23.17,6.16,8.15,18.18,6.13
002510,天汽模,1.78,23.15,16.55,8.94,16.00,16.71
002929,润建通信,40.17,23.15,7.37,10.99,26.32,6.95
002203,海亮股份,91.36,23.14,18.55,31.09,24.11,19.84
300547,川环科技,19.44,23.13,16.14,12.72,19.20,16.14
603899,晨光文具,30.25,23.06,16.22,23.21,23.21,17.05
600479,千金药业,4.98,22.97,7.80,7.58,22.39,7.76
603980,吉华集团,-5.21,22.92,94.17,63.14,-4.00,100.50
600229,城市传媒,7.12,22.90,8.04,17.25,22.49,9.89
603017,中衡设计,51.15,22.90,11.49,12.31,12.80,9.49
600348,阳泉煤业,5.91,22.84,12.13,1.20,16.67,11.51
600171,上海贝岭,45.30,22.79,31.10,28.45,22.73,31.50
600795,国电电力,8.41,22.78,-1.86,1.88,18.00,-0.75
600251,冠农股份,99.71,22.77,9.23,28.42,35.19,4.54
000513,丽珠集团,11.43,22.72,55.25,42.55,-4.55,63.26
000650,仁和药业,26.02,22.71,8.76,13.57,34.17,10.02
002556,辉隆股份,16.18,22.60,4.12,-2.02,14.50,3.21
603113,金能科技,16.86,22.59,70.86,53.50,8.57,70.86
601012,隆基股份,29.14,22.52,40.85,59.19,22.73,39.92
002563,森马服饰,21.57,22.51,1.71,12.23,33.33,1.64
002672,东江环保,12.24,22.45,12.07,4.65,16.67,13.36
002762,金发拉比,10.92,22.40,8.91,13.79,11.11,8.85
300141,和顺电气,11.46,22.34,-1.19,31.36,0.00,-1.39
000963,华东医药,9.61,22.33,16.12,13.83,-39.41,15.72
600386,北巴传媒,17.15,22.30,2.24,37.07,-60.00,3.00
600755,厦门国贸,33.71,22.26,48.52,21.23,-4.76,54.65
002559,亚威股份,11.52,22.25,3.36,7.99,22.74,3.10
603779,威龙股份,3.94,22.19,74.99,26.18,0.00,74.99
002327,富安娜,28.04,22.13,15.29,24.19,22.22,15.29
002111,威海广泰,15.45,22.13,-3.35,7.27,18.18,-1.32
000153,丰原药业,35.52,22.12,5.35,9.27,20.33,5.35
603026,石大胜华,11.78,22.12,4.48,26.80,50.00,4.38
300578,会畅通讯,-6.95,22.11,3.37,14.38,14.29,3.37
601965,中国汽研,72.36,22.09,7.19,10.45,12.50,7.27
600327,大东方,9.15,22.08,-2.75,-3.34,23.86,-2.66
002214,大立科技,8.91,21.97,1.93,7.20,12.50,1.94
000895,双汇发展,-1.78,21.95,3.86,2.89,21.07,3.96
601137,博威合金,-0.93,21.90,5.37,6.03,22.22,5.37
300497,富祥股份,32.26,21.89,23.11,25.82,19.15,23.32
603018,中设集团,31.15,21.87,13.05,24.04,16.67,13.03
600513,联环药业,70.06,21.84,6.40,14.12,0.00,6.45
600104,上汽集团,21.58,21.81,8.83,18.85,15.26,8.74
603456,九洲药业,20.51,21.78,4.85,8.51,20.00,4.92
300390,天华超净,5.96,21.75,4.09,-0.76,12.89,3.99
603578,三星新材,9.56,21.73,12.84,9.18,5.26,12.84
300339,润和软件,65.88,21.68,27.21,28.46,-40.00,28.02
300661,圣邦股份,32.91,21.67,7.37,10.99,-10.08,6.95
603128,华贸物流,14.80,21.64,5.72,7.29,33.33,6.28
601566,九牧王,12.47,21.58,13.89,11.54,21.43,13.97
002896,中大力德,20.85,21.56,7.37,10.99,-5.88,6.95
002901,大博医疗,20.45,21.54,7.37,10.99,6.25,6.95
600148,长春一东,22.59,21.46,9.13,7.70,29.49,5.96
600613,神奇制药,11.64,21.45,3.95,2.04,50.00,4.63
002201,九鼎新材,19.45,21.45,-0.11,-1.33,0.00,-0.14
600825,新华传媒,-24.57,21.39,1.09,-0.63,14.29,1.20
002308,威创股份,20.02,21.38,47.34,50.00,0.00,46.74
600290,华仪电气,4.81,21.38,1.39,11.12,205.26,1.41
300235,方直科技,16.04,21.36,0.54,2.26,25.00,0.60
603123,翠微股份,1.43,21.32,3.01,-0.29,20.83,3.01
600887,伊利股份,24.56,21.30,9.42,15.08,20.69,9.56
603938,三孚股份,6.93,21.29,86.10,74.39,-9.38,86.10
300119,瑞普生物,28.38,21.28,3.74,5.78,22.21,2.86
600168,武汉控股,23.65,21.27,5.56,29.08,22.22,5.31
002638,勤上股份,3.66,21.21,2.46,-4.28,53.85,1.81
002464,众应互联,101.89,21.19,17.25,57.40,-25.71,17.26
