date,code,name,weight
2018-06-29,601919,中远海控,0.18
2018-06-29,601933,永辉超市,0.27
2018-06-29,601939,建设银行,0.47
2018-06-29,601958,金钼股份,0.06
2018-06-29,601985,中国核电,0.25
2018-06-29,601988,中国银行,0.71
2018-06-29,601989,中国重工,0.35
2018-06-29,601991,大唐发电,0.07
2018-06-29,601992,金隅集团,0.10
2018-06-29,601997,贵阳银行,0.16
2018-06-29,601998,中信银行,0.18
2018-06-29,603160,汇顶科技,0.06
2018-06-29,603260,合盛硅业,0.05
2018-06-29,603288,海天味业,0.56
2018-06-29,603799,华友钴业,0.32
2018-06-29,603833,欧派家居,0.15
2018-06-29,603858,步长制药,0.14
2018-06-29,603993,洛阳钼业,0.14
2018-06-29,000001,平安银行,0.73
2018-06-29,000002,万科Ａ,1.12
2018-06-29,000060,中金岭南,0.11
2018-06-29,000063,中兴通讯,0.29
2018-06-29,000069,华侨城Ａ,0.22
2018-06-29,000100,TCL集团,0.29
2018-06-29,000157,中联重科,0.17
2018-06-29,000166,申万宏源,0.28
2018-06-29,000333,美的集团,2.25
2018-06-29,000338,潍柴动力,0.40
2018-06-29,000402,金 融 街,0.09
2018-06-29,000413,东旭光电,0.22
2018-06-29,000415,渤海金控,0.10
2018-06-29,000423,东阿阿胶,0.23
2018-06-29,000425,徐工机械,0.17
2018-06-29,000503,国新健康,0.21
2018-06-29,000538,云南白药,0.52
2018-06-29,000540,中天金融,0.19
2018-06-29,000559,万向钱潮,0.09
2018-06-29,000568,泸州老窖,0.42
2018-06-29,000623,吉林敖东,0.16
2018-06-29,000625,长安汽车,0.16
2018-06-29,000627,天茂集团,0.10
2018-06-29,000630,铜陵有色,0.13
2018-06-29,000651,格力电器,2.12
2018-06-29,000671,阳光城,0.09
2018-06-29,000709,河钢股份,0.12
2018-06-29,000723,美锦能源,0.06
2018-06-29,000725,京东方A,0.79
2018-06-29,000728,国元证券,0.14
2018-06-29,000768,中航飞机,0.20
2018-06-29,000776,广发证券,0.37
2018-06-29,000783,长江证券,0.20
2018-06-29,000786,北新建材,0.15
2018-06-29,000792,盐湖股份,0.14
2018-06-29,000826,启迪桑德,0.12
2018-06-29,000839,中信国安,0.12
2018-06-29,000858,五 粮 液,1.38
2018-06-29,000876,新 希 望,0.13
2018-06-29,000895,双汇发展,0.25
2018-06-29,000898,鞍钢股份,0.10
2018-06-29,000938,紫光股份,0.09
2018-06-29,000959,首钢股份,0.06
2018-06-29,000961,中南建设,0.11
2018-06-29,000963,华东医药,0.33
2018-06-29,000983,西山煤电,0.11
2018-06-29,001965,招商公路,0.04
2018-06-29,001979,招商蛇口,0.42
2018-06-29,002007,华兰生物,0.17
2018-06-29,002008,大族激光,0.43
2018-06-29,002024,苏宁易购,0.49
2018-06-29,002027,分众传媒,0.66
2018-06-29,002044,美年健康,0.26
2018-06-29,002050,三花智控,0.15
2018-06-29,002065,东华软件,0.15
2018-06-29,002074,国轩高科,0.09
2018-06-29,002081,金螳螂,0.15
2018-06-29,002085,万丰奥威,0.12
2018-06-29,002142,宁波银行,0.39
2018-06-29,002146,荣盛发展,0.14
2018-06-29,002153,石基信息,0.09
2018-06-29,002202,金风科技,0.24
2018-06-29,002230,科大讯飞,0.44
2018-06-29,002236,大华股份,0.37
2018-06-29,002241,歌尔股份,0.19
2018-06-29,002252,上海莱士,0.27
2018-06-29,002294,信立泰,0.15
2018-06-29,002304,洋河股份,0.74
2018-06-29,002310,东方园林,0.19
2018-06-29,002352,顺丰控股,0.11
2018-06-29,002385,大北农,0.08
2018-06-29,002411,必康股份,0.08
2018-06-29,002415,海康威视,1.28
2018-06-29,002450,康得新,0.34
2018-06-29,002456,欧菲科技,0.29
2018-06-29,002460,赣锋锂业,0.28
2018-06-29,002466,天齐锂业,0.32
2018-06-29,002468,申通快递,0.05
2018-06-29,002470,金正大,0.10
2018-06-29,002475,立讯精密,0.40
2018-06-29,002493,荣盛石化,0.17
2018-06-29,002500,山西证券,0.11
2018-06-29,002508,老板电器,0.14
2018-06-29,002555,三七互娱,0.10
2018-06-29,002558,巨人网络,0.14
2018-06-29,002572,索菲亚,0.20
2018-06-29,002594,比亚迪,0.41
2018-06-29,002601,龙蟒佰利,0.07
2018-06-29,002602,世纪华通,0.09
2018-06-29,002608,江苏国信,0.03
2018-06-29,002624,完美世界,0.11
2018-06-29,002625,光启技术,0.05
2018-06-29,002673,西部证券,0.12
2018-06-29,002714,牧原股份,0.15
2018-06-29,002736,国信证券,0.21
2018-06-29,002739,万达电影,0.23
2018-06-29,002797,第一创业,0.13
2018-06-29,002925,盈趣科技,0.05
2018-06-29,300003,乐普医疗,0.37
2018-06-29,300015,爱尔眼科,0.29
2018-06-29,300017,网宿科技,0.15
2018-06-29,300024,机器人,0.18
2018-06-29,300027,华谊兄弟,0.10
2018-06-29,300033,同花顺,0.08
2018-06-29,300059,东方财富,0.45
2018-06-29,300070,碧水源,0.25
2018-06-29,300072,三聚环保,0.20
2018-06-29,300122,智飞生物,0.21
2018-06-29,300124,汇川技术,0.31
2018-06-29,300136,信维通信,0.23
2018-06-29,300144,宋城演艺,0.16
2018-06-29,300251,光线传媒,0.08
2018-06-29,300408,三环集团,0.23
2018-06-29,300433,蓝思科技,0.10
