code,name,industry,report,profit,operation,growth,debtpaying,cashflow
002251,步 步 高,超市连锁,3.12,4.57,3.83,3.17,3.50,5.20
000703,恒逸石化,化纤,3.75,4.86,4.00,4.83,3.50,4.00
600965,福成股份,农业综合,2.88,3.43,3.50,3.33,3.50,5.00
603367,辰欣药业,化学制药,3.50,4.71,3.50,4.17,3.50,4.60
300538,同益股份,批发业,2.88,3.71,3.50,3.83,3.50,4.80
000534,万泽股份,区域地产,1.62,3.57,4.00,3.00,3.50,1.00
002673,西部证券,证券,1.75,3.00,1.00,2.83,3.50,2.40
603619,中曼石油,石油开采,2.38,4.57,3.50,2.50,3.50,4.00
300415,伊之密,专用机械,2.25,4.14,3.50,3.33,3.50,1.00
600971,恒源煤电,煤炭开采,2.62,4.71,3.67,2.50,3.50,5.00
000022,深赤湾Ａ,港口,2.38,4.71,3.67,3.33,3.50,4.80
300661,圣邦股份,元器件,2.50,4.00,3.50,3.00,3.50,1.00
300267,尔康制药,化学制药,2.38,4.00,3.50,1.33,3.50,5.40
600575,皖江物流,水运,2.00,3.43,3.83,2.00,3.50,4.40
300690,双一科技,电气设备,2.12,3.86,3.50,2.00,3.50,4.00
002825,纳尔股份,化工原料,1.62,3.14,3.50,2.17,3.50,4.20
600578,京能电力,火力发电,1.88,3.43,3.67,3.17,3.50,4.60
600536,中国软件,软件服务,1.75,2.43,3.50,3.17,3.50,1.00
002195,二三四五,软件服务,2.38,4.71,3.33,3.50,3.50,1.00
300455,康拓红外,运输设备,2.38,3.57,4.00,2.83,3.50,5.40
300480,光力科技,电器仪表,2.62,3.00,3.67,5.17,3.50,4.80
601688,华泰证券,证券,3.88,5.14,1.00,3.33,3.50,1.00
002316,亚联发展,软件服务,2.38,3.71,3.67,3.67,3.50,5.00
000976,华铁股份,运输设备,2.00,3.00,3.67,3.00,3.50,1.00
601377,兴业证券,证券,2.38,3.29,1.00,2.33,3.50,1.00
600240,华业资本,全国地产,3.00,4.14,3.83,3.67,3.50,1.00
002851,麦格米特,电气设备,2.88,3.71,3.50,4.50,3.50,1.00
300363,博腾股份,化学制药,1.88,3.43,3.50,1.67,3.50,4.40
000890,法 尔 胜,钢加工,2.38,3.00,3.83,2.00,3.50,1.00
002628,成都路桥,建筑施工,1.50,2.43,3.50,1.67,3.50,4.20
000156,华数传媒,影视音像,2.88,4.29,3.67,3.00,3.50,4.40
600509,XD天富能,火力发电,2.38,3.71,3.50,3.17,3.50,4.00
300462,华铭智能,专用机械,3.62,4.29,3.50,4.50,3.50,4.60
600777,新潮能源,综合类,3.12,3.43,3.67,6.00,3.50,5.60
